base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,5263368.14,3185439.421,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,6883779.608,4089647.966,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,4355711.11,2174635.331,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,Air Transport,General Government,Q2,30014893.06,17179841.85,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,5385290.844,2476804.99,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,Air Transport,General Government,Q2,540787.5421,338883.983,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Manufacturing,Air Transport,General Government,Q2,4169418.713,2953646.67,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,806974.262,405295.9385,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Construction,Air Transport,General Government,Q2,2627009.031,1572285.306,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,5257396.065,3176829.841,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,6881866.039,4088071.596,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,4353290.292,2175627.886,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,Air Transport,General Government,Q2,30022032.79,17187446.21,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Non-Financial Corporations,Q2,1551904.311,1253671.7912885246,₹ Crore
