base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Manufacturing,,,,4169418.713,2953646.67,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,806974.262,405295.9385,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Construction,,,,2627009.031,1572285.306,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,5257396.065,3176829.841,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",,,,6881866.039,4088071.596,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",,,,4353290.292,2175627.886,₹ Crore
2011-12,Current,2024-25,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,,,,30022032.79,17187446.21,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Public Non-Financial Corporations,,1551904.311,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Private Non-Financial Corporations,,9555601.403,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Public Financial Corporations,,780342.4093,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Private Financial Corporations,,1059339.323,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,General Government,,2656799.96,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Households Including NPISH,,13250480.02,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Total Gross Value Added,,28854467.43,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,3487514.539,3113280.932,₹ Crore
