base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,,,Private Financial Corporations,,463699.536,,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,,,General Government,,1547925.659,,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,,,Households Including NPISH,,6832920.368,,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,,,Total Gross Value Added,,15505665.21,,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,1633264.189,1075111.441,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,785683.2572,497830.3378,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,217603.3615,152350.6829,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,193275.0435,114730.4336,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2829825.851,1840022.896,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Mining and Quarrying,,,,336109.1338,329612.0533,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,278088.6082,214366.2473,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,332469.8573,280872.5774,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Metal Products,,,333177.2547,319554.5506,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Machinery and Equipment,,,587161.492,533307.0363,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Other Manufactured Goods,,,1035726.152,861327.3515,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,,,,2566623.364,2209427.763,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,425717.7288,272650.0196,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Construction,,,,1200413.844,964305.6677,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,1722671.479,1435983.809,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,158723.0894,132190.8542,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,1881394.569,1568174.663,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,116583.5137,87885.77033,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,484133.5491,396401.4734,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,13020.92739,11914.52446,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,22443.96845,8372.575885,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,97602.32598,84350.56785,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,16193.98529,12975.77887,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,247549.3553,198344.049,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,997527.6252,800244.7398,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Financial Services,,,,846194.16,728669.6334,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,2281017.539,1808520.625,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Public Administration and Defence,,,,945082.2276,676507.4351,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Other Services,,,,1195759.169,836035.0175,₹ Crore
2011-12,Current,2017-18,Gross Value Added,Annual,Third Revised Estimates,Total Gross Value Added,,,,15505665.21,12034170.51,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2318239,1669833,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,,,,321701,312663,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,Manufacturing,,,,2186573,1957026,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,335457,246188,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,Construction,,,,1075632,913918,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,2482019,2117867,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",,,,2845239,2450391,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",,,,2037315,1485151,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,,,,13602175,11153038,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2382289,1687064,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,,,,309178,349351,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,,,,2278149,2007564,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,338396,239203,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,Construction,,,,1064068,879525,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,2538162,2133851,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",,,,2896300,2443633,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",,,,1944243,1428124,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,,,,13750786,11168315,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2372085,1696175,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,,,,301921,330485,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,Manufacturing,,,,2257413,2019927,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,342422,240590,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,Construction,,,,1041343,894668,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,2519999,2143956,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",,,,2889048,2429638,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",,,,1945683,1430002,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,,,,13669914,11185440,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Public Non-Financial Corporations,,884411.804,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Private Non-Financial Corporations,,4836708.236,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Public Financial Corporations,,358141.309,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Private Financial Corporations,,384794.8116,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,General Government,,1403309.177,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Households Including NPISH,,5974225.927,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,,,Total Gross Value Added,,13841591.26,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,1530137.037,1033007.677,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,639911.5338,448963.5361,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,180464.7549,138778.772,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,133492.1146,95995.76176,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2484005.44,1716745.747,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,,,,332946.6527,371065.7357,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,212347.1685,174619.1948,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,315236.3283,274256.2312,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,,,251747.7979,263186.3705,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,,,548807.4207,442381.669,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,,,1001081.23,894267.0659,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Manufacturing,,,,2329219.945,2048710.531,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,363481.5416,244934,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Construction,,,,1028463.387,878110.1968,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,1446832.02,1250502.158,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,139406.4094,120406.9782,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,1586238.429,1370909.136,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,106582.0542,84594,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,434587.7738,362077.4841,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,6847.618035,8578.023673,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,20654.96623,7184.162849,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,103496.0559,86616.63853,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,6887.829936,5868.91209,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,256518.3876,211274.0517,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,935574.6856,766193.2729,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Financial Services,,,,742936.1206,682553.0899,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,2114386.19,1755304.273,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,,,,859615.2826,637056.3914,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Other Services,,,,1064723.59,776046.9143,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,,,,13841591.26,11247629.29,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Public Non-Financial Corporations,,877489.6181,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Private Non-Financial Corporations,,4871073.687,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Public Financial Corporations,,361155.779,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Private Financial Corporations,,389068.2298,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,General Government,,1358378.983,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Households Including NPISH,,6078750.892,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,,,Total Gross Value Added,,13935917.19,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,1476268.041,1018167.527,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,672829.1813,461170.6963,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,192839.8382,138904.8752,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,154421.4281,99223.57916,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2496358.488,1717466.678,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Mining and Quarrying,,,,321871.574,348088.7664,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,258641.2898,202127.6146,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,306219.2148,263790.3784,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Metal Products,,,274477.9314,284800.1334,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Machinery and Equipment,,,540632.5193,470362.5762,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,Other Manufactured Goods,,,955096.5892,833962.1425,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Manufacturing,,,,2335067.545,2055042.845,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,353467.968,246491,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Construction,,,,1082465.61,917754.3897,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,1468581.268,1268165.063,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,140334.7362,121010.8029,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,1608916.004,1389175.866,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,106834.6781,82161,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,434493.5774,362251.8017,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,9203.366269,8567.365323,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,22229.26253,7170.532648,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,102488.6071,86817.46289,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,7377.228251,6062.244386,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,246725.759,203208.8529,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,929352.4786,756239.2599,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Financial Services,,,,750224.0088,697102.794,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,2161677.287,1797341.401,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Public Administration and Defence,,,,826961.6839,613896.0487,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Other Services,,,,1069554.542,780372.5981,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Second Revised Estimates,Total Gross Value Added,,,,13935917.19,11318971.65,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Public Non-Financial Corporations,,880245,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Private Non-Financial Corporations,,4870797,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Public Financial Corporations,,361133,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Private Financial Corporations,,389068,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,General Government,,1360349,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Households Including NPISH,,6103607,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,,,Total Gross Value Added,,13965199,,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,1486044,1020258,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,672611,461572,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,205364,144547,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,154643,99627,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2518662,1726004,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Mining and Quarrying,,,,326808,349248,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,,259668,202964,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,,303155,261079,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Metal Products,,,273963,285206,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Machinery and Equipment,,,541055,474418,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,Other Manufactured Goods,,,955881,831097,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Manufacturing,,,,2333721,2054764,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,355709,246496,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Construction,,,,1080870,916445,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,1468583,1268230,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,140418,121092,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Trade, Repair, Hotels and Restaurants",,,,1609001,1389322,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,106786,82161,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,434947,362324,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,9206,8569,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,21496,7172,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,102468,86835,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,7442,6100,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,247809,203896,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,930155,757056,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Financial Services,,,,750201,695983,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",,,,2161236,1796983,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Public Administration and Defence,,,,827438,614238,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Other Services,,,,1071399,781744,₹ Crore
2011-12,Current,2016-17,Gross Value Added,Annual,Third Revised Estimates,Total Gross Value Added,,,,13965200,11328285,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2082692,1602036,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,,,,315585,316811,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,Manufacturing,,,,1995079,1825371,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,319390,229681,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,Construction,,,,1009764,886179,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,2277734,2007866,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",,,,2525532,2249243,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",,,,1726530,1320393,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,,,,12252306,10437579,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,2093081,1604044,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,,,,318672,318377,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,Manufacturing,,,,1994330,1821926,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,320186,231228,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,Construction,,,,1016659,887957,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,2281533,1998292,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",,,,2534422,2248845,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",,,,1720527,1316522,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,,,,12279410,10427191,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Revised Estimates,,,Public Non-Financial Corporations,,767015.9531,,₹ Crore
2011-12,Current,2015-16,Gross Value Added,Annual,First Revised Estimates,,,Private Non-Financial Corporations,,4342837.291,,₹ Crore
